id,name,box_art_url
1229,Super Mario World,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20World-{width}x{height}.jpg
509658,Just Chatting,https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-{width}x{height}.jpg
509577,Dungeons & Dragons,https://static-cdn.jtvnw.net/ttv-boxart/Dungeons%20&%20Dragons-{width}x{height}.jpg
512710,Call of Duty: Modern Warfare,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-{width}x{height}.jpg
491487,Dead by Daylight,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-{width}x{height}.jpg
498566,Slots,https://static-cdn.jtvnw.net/ttv-boxart/Slots-{width}x{height}.jpg
511224,Apex Legends,https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-{width}x{height}.jpg
16282,Super Smash Bros. Melee,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20Melee-{width}x{height}.jpg
495202,Fire Emblem: Three Houses,https://static-cdn.jtvnw.net/ttv-boxart/./Fire%20Emblem:%20Three%20Houses-{width}x{height}.jpg
115977,The Witcher 3: Wild Hunt,https://static-cdn.jtvnw.net/ttv-boxart/./The%20Witcher%203:%20Wild%20Hunt-{width}x{height}.jpg
11988,Final Fantasy VII,https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20VII-{width}x{height}.jpg
497057,Destiny 2,https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-{width}x{height}.jpg
24193,Left 4 Dead 2,https://static-cdn.jtvnw.net/ttv-boxart/Left%204%20Dead%202-{width}x{height}.jpg
18122,World of Warcraft,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-{width}x{height}.jpg
509663,Special Events,https://static-cdn.jtvnw.net/ttv-boxart/Special%20Events-{width}x{height}.jpg
29307,Path of Exile,https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-{width}x{height}.jpg
2748,Magic: The Gathering,https://static-cdn.jtvnw.net/ttv-boxart/./Magic:%20The%20Gathering-{width}x{height}.jpg
513143,Teamfight Tactics,https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-{width}x{height}.jpg
491931,Escape From Tarkov,https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-{width}x{height}.jpg
510044,Trine 4,https://static-cdn.jtvnw.net/ttv-boxart/Trine%204-{width}x{height}.jpg
490377,Sea of Thieves,https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-{width}x{height}.jpg
497451,Pokémon Sword/Shield,https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Sword/Shield-{width}x{height}.jpg
493959,Red Dead Redemption 2,https://static-cdn.jtvnw.net/ttv-boxart/Red%20Dead%20Redemption%202-{width}x{height}.jpg
235,Command & Conquer: Red Alert,https://static-cdn.jtvnw.net/ttv-boxart/./Command%20&%20Conquer:%20Red%20Alert-{width}x{height}.jpg
460630,Tom Clancy's Rainbow Six: Siege,https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-{width}x{height}.jpg
488552,Overwatch,https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-{width}x{height}.jpg
32982,Grand Theft Auto V,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-{width}x{height}.jpg
513319,NBA 2K20,https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K20-{width}x{height}.jpg
27471,Minecraft,https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-{width}x{height}.jpg
459931,Old School RuneScape,https://static-cdn.jtvnw.net/ttv-boxart/Old%20School%20RuneScape-{width}x{height}.jpg
29595,Dota 2,https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-{width}x{height}.jpg
33214,Fortnite,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-{width}x{height}.jpg
417969,Halo: The Master Chief Collection,https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-{width}x{height}.jpg
504461,Super Smash Bros. Ultimate,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20Ultimate-{width}x{height}.jpg
21779,League of Legends,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-{width}x{height}.jpg
512804,FIFA 20,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2020-{width}x{height}.jpg
499507,Welcome to the Game II,https://static-cdn.jtvnw.net/ttv-boxart/Welcome%20to%20the%20Game%20II-{width}x{height}.jpg
503116,Beat Saber,https://static-cdn.jtvnw.net/ttv-boxart/Beat%20Saber-{width}x{height}.jpg
23313,Rabbids Go Home: A Comedy Adventure,https://static-cdn.jtvnw.net/ttv-boxart/./Rabbids%20Go%20Home:%20A%20Comedy%20Adventure-{width}x{height}.jpg
32399,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-{width}x{height}.jpg
494508,Yu-Gi-Oh! Duel Links,https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20Duel%20Links-{width}x{height}.jpg
138585,Hearthstone,https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-{width}x{height}.jpg
